1st_2_2,2nd_2_2,3rd_2_2
0.007507142206117392,0.005215838761532729,-0.018590551381294097
-0.09121298080914503,-0.04867927004157797,-0.05744988168182342
-0.07699298454500648,-0.010659735349472114,0.0005094174092155719
-0.09229110758207604,-0.08296322568831144,0.00962658688966829
-0.13927510460515743,0.04498573413418675,0.08663912756334646
0.052370432239205685,-0.18401680990814637,-0.14819447835789118
0.012048233876932851,-0.2555212896758726,0.04782492571786272
-0.14544312890509203,-0.029220779216845023,-0.005820916800903752
-0.0517495497306869,-0.08807986922937353,0.019617398962639473
-0.10524396307460401,-0.06677313358922354,0.05851932712962706
-0.16468768459748281,0.15046693939802275,-0.025769683337273218
0.14122178760422568,-0.0295802499508515,-0.134713396678443
0.032151762178127874,-0.15066538527190962,-0.011360270133376805
-0.04227063837944123,0.05500966263484677,-0.007199522185776262
-0.012382621274954767,0.11873994494413266,-0.07073994697341687
0.022014570006153367,-0.19331194230526927,-0.0030597700538177487
-0.08050352974584697,-0.0663358529118271,0.10560498590573777
0.01984646100799909,-0.13983117823578162,0.039227431431701876
-0.03377453979545887,0.14297173903568813,-0.06425486655628418
-0.05806691693383885,-0.022469047630716284,-0.06557438680166461
-0.037293293380294024,-0.17563591558976596,0.06508106827241694
-0.10846823985838593,0.06295383660422518,0.0663551593734865
-0.06693502520669432,-0.07751310565932261,-0.007562818390019512
0.006896864032505487,-0.058752121053149683,-0.19166906679526702
-0.12270829219240358,0.07558780619221687,0.06627821168853933
-0.057319570529673985,-0.07460308696563195,0.0369995960337883
-0.029704070740655626,-0.0633825038119806,-0.06794876253182791
0.013852562717571099,0.012360379693476042,-0.08925001244773251
-0.004068799281186121,-0.11575272873355878,-0.007709235325691588
-0.05273517844806943,-0.04599832432092622,-0.19505532697876138
-0.07092041298185474,0.10076152669949578,-0.09452180652816147
0.027028573343487402,-0.006624137806413457,-0.17050940361763472
0.01213842352431152,0.09407330309899298,-0.03632140976006232
0.06885627636129016,-0.19865774641511713,-0.04682743441670327
-0.026539396126415905,0.10622279625666266,-0.05831800164675313
-0.019394394180125365,0.08595636930663265,-0.01913811530442765
-0.06146865703303874,-0.05500722644149835,-0.008145922887224898
-0.00491163189250042,-0.22462968680112383,-0.07938703646755237
-0.06095240394644721,0.03967389381317536,0.010856975849926535
-0.1230207437904335,-0.06356653701243853,-0.03134917622309093
0.03611681195334898,-0.08968155053650982,-0.15949184511897702
-0.00398050483308264,-0.23944905560006965,0.0470844384953238
0.018838128792106612,0.022262901834398795,-0.06427141000358716
0.00405754395054176,-0.10801181687370157,-0.06827204075264008
-0.12591324214790278,0.05713801104166784,-0.04160884089686005
0.03025413821789786,0.08736456561721828,-0.07907412603902479
0.08420180541474717,-0.03520473442937989,-0.06637254079465173
0.029623505578531537,-0.007024523993630509,-0.19935113476783958
-0.08799146065853439,-0.03570076761091949,0.03471790053916443
0.08914700217788235,-0.0985241976956201,-0.049483097517273554
-0.1357981973347609,0.06939979264413285,-0.11447316452900791
-0.10965527284626343,0.042869055045976025,-0.06188349878905969
0.02612938078765173,0.007682948702681731,-0.025438223718198184
-0.13090615580163437,0.01641550972672854,-0.11648491918464587
-0.05341717556814212,-0.08691759837081842,-0.012482244945956287
-0.12840154633778195,-0.03805269457660974,-0.044846870532810425
-0.12087857920845292,0.0014692130490835155,0.030193320676446818
0.028235076709440324,0.010455633579980968,-0.1110598712714442
0.0035737730557321087,0.05423135464303946,-0.002482528420299765
-0.010328583216272147,-0.015654931314962612,-0.11863031010941515
-0.008648730061482993,-0.18589647780580745,-0.05772897644862766
-0.056909823926617906,-0.049369033027321076,0.011073639449954011
-0.10716656244738491,0.05326658830839079,0.04239222264157189
-0.1433287949024109,0.0692573642274149,0.018117993646936063
-0.05447590765506313,0.14625680726772133,-0.017825171041363407
0.04876164940648296,-0.2189325743609693,0.032501386777716974
-0.016649867798959966,0.10683945297292945,-0.09238207113647337
-0.013612957017756909,0.09391466600273952,-0.13754598460622117
-0.042967280711854156,0.10734923728815086,-0.007270174330454848
-0.01370840777490459,0.11113849301440197,-0.06643362476365781
0.010670346033646291,0.08921095997513596,-0.1798643466070689
0.019692139930796715,0.09943437375537806,-0.08226993278396044
-0.17119229928977636,0.10116115678504413,-0.012944560248179497
